기획년도,주차,카테고리,판매수량,판매액,평균 택가,평균 원가,주차별 평균 실판매가,월,월별 평균 실판매가,년도별 평균 실판매가,실판매가,할인율,시즌이월,매출원가계,판매택가계,누적판매수량,누적판매액,누적매출원가,누적판매택가
2021,2021-01-17,사계절_데님_데님팬츠_ZB,47,3658470,79900.0,11720.0,77720.0,1,75709.0,51123.0,77840.0,3.0,01_시즌,550840.0,3755300.0,47,3658470,550840.0,3755300.0
2021,2021-01-17,사계절_수트_블레이져(수트)_ZB,596,77652310,199000.0,36613.0,136951.0,1,122518.0,134016.0,130289.0,35.0,01_시즌,21821348.0,118604000.0,1554,197166926,55781290.0,309246000.0
2021,2021-01-17,사계절_수트_수트팬츠_ZB,694,48170692,99000.0,17285.0,72174.0,1,66125.0,67813.0,69410.0,30.0,01_시즌,11995790.0,68706000.0,1839,127847992,30949970.0,182061000.0
2021,2021-01-17,사계절_우븐 셔츠_드레스셔츠_ZB,1251,37518580,56567.0,7777.0,35600.0,1,38629.0,32928.0,29991.0,47.0,01_시즌,9729027.0,70765317.0,3429,121230908,26667333.0,193968243.0
2021,2021-01-17,사계절_우븐 셔츠_드레스셔츠_ZC,13,349950,39900.0,7535.0,26919.0,1,30812.0,28709.0,26919.0,33.0,01_시즌,97955.0,518700.0,46,1516800,346610.0,1835400.0
2021,2021-01-17,사계절_자켓_싱글재킷_ZB,0,0,199000.0,23618.0,,1,199000.0,110719.0,199000.0,0.0,01_시즌,0.0,0.0,0,0,0.0,0.0
2021,2021-01-17,사계절_팬츠_팬츠(일반)_ZB,253,17448980,69900.0,10105.0,68968.0,1,57987.0,41957.0,68968.0,1.0,01_시즌,2556565.0,17684700.0,253,17448980,2556565.0,17684700.0
2021,2021-01-17,여름_우븐 셔츠_드레스셔츠_ZB,0,0,69900.0,6329.0,,1,,23706.0,23706.0,66.0,01_시즌,0.0,0.0,0,0,0.0,0.0
2021,2021-01-24,봄_가죽&FUR_가죽점퍼_ZA,51,24770500,999000.0,204500.0,485429.0,1,530682.0,455750.0,485696.0,51.0,01_시즌,10429500.0,50949000.0,291,144711500,59509500.0,290709000.0
2021,2021-01-24,봄_니트 셔츠_라운드_ZB,961,45201004,69900.0,7574.0,50931.0,1,41774.0,24107.0,47035.0,33.0,01_시즌,7278614.0,67173900.0,1841,82100032,14466638.0,128685900.0
2021,2021-01-24,봄_수트_블레이져(수트)_ZA,92,14824867,319000.0,53744.0,183930.0,1,188353.0,166517.0,161140.0,49.0,01_시즌,4944448.0,29348000.0,359,61153231,19556350.0,116701000.0
2021,2021-01-24,봄_수트_블레이져(수트)_ZB,311,47355540,199000.0,40583.0,151402.0,1,160160.0,125211.0,152269.0,23.0,01_시즌,12621313.0,61889000.0,1083,164634941,43951389.0,215517000.0
2021,2021-01-24,봄_수트_블레이져(수트)_ZC,53,8389120,239000.0,46064.0,158384.0,1,160403.0,124769.0,158285.0,34.0,01_시즌,2441392.0,12667000.0,175,27795420,8061200.0,41825000.0
2021,2021-01-24,봄_수트_수트팬츠_ZA,106,8482433,179000.0,30103.0,98508.0,1,104290.0,91701.0,80023.0,55.0,01_시즌,3190918.0,18974000.0,408,37594539,12540328.0,74738624.0
2021,2021-01-24,봄_수트_수트팬츠_ZB,333,25318260,99000.0,20850.0,75637.0,1,74954.0,64274.0,76031.0,23.0,01_시즌,6943050.0,32967000.0,1250,94763970,26062500.0,123750000.0
