기획년도,주차,카테고리,라인,시즌이월,시즌,복종,소품종,성별,총입고수량,판매수량,판매액,평균택가,평균원가,총입고원가,총입고택가,매출원가계,판매택가계,주차별_평균_실판매가,월,월별_평균_실판매가,시즌별_평균_실판매가,실판매가,할인율,누적판매수량,누적판매액,누적매출원가,누적판매택가,누적판매율,ROI,맑음,흐림,비,강한 비,눈,강한 눈,진눈깨비,악천후일수,평균기온(도)
2024,2024-03-10,여름_점퍼_점퍼_ZG,ZG,01_시즌,여름,점퍼,점퍼,1:남성,5001,25,4905300,249000,30900,154528400,1245249000,772488,6225000,197816.0,3,144955.0,103779,196212.0,21.0,64,12649200,1977568,15936000,1.28,0.06,7,0,0,0,0,0,0,0,7.4
2024,2024-03-10,여름_팬츠_팬츠(일반)_ZA,ZA,01_시즌,여름,팬츠,팬츠(일반),1:남성,24224,81,7180200,129000,13020,315390424,3124896000,1054600,10449000,88551.0,3,86319.0,75881,88644.0,31.0,483,43491120,5648638,62307000,1.99,0.11,7,0,0,0,0,0,0,0,7.4
2024,2024-03-10,여름_수트_블레이져(수트)_ZB,ZB,01_시즌,여름,수트,블레이져(수트),1:남성,22507,420,93077190,279000,52695,1186002614,6279453000,22131830,117180000,221649.0,3,216829.0,172622,221612.0,21.0,2310,501543460,121892160,644490000,10.26,0.28,7,0,0,0,0,0,0,0,7.4
2024,2024-03-10,여름_스웨터_오픈형(CARDIGAN)_ZA,ZA,01_시즌,여름,스웨터,오픈형(CARDIGAN),1:남성,2713,0,0,129000,14208,38546304,349977000,0,0,,3,82512.0,55037,82512.0,36.0,0,0,0,0,0.0,0.0,7,0,0,0,0,0,0,0,7.4
2024,2024-03-10,여름_니트 셔츠_라운드_ZB,ZB,01_시즌,여름,니트 셔츠,라운드,1:남성,61834,161,8825570,79000,5836,360887958,4884886000,939660,12719000,54830.0,3,51090.0,29593,54817.0,31.0,325,17811170,1923004,25675000,0.53,0.04,7,0,0,0,0,0,0,0,7.4
2024,2024-03-10,여름_수트_블레이져(수트)_ZA,ZA,01_시즌,여름,수트,블레이져(수트),1:남성,4958,53,14788500,389000,75642,375035515,1928662000,4009052,20617000,308321.0,3,296372.0,226639,279028.0,28.0,185,50367200,12922263,68865000,3.73,0.09,7,0,0,0,0,0,0,0,7.4
2024,2024-03-10,봄_스웨터_T-에리_ZB,ZB,01_시즌,봄,스웨터,T-에리,1:남성,7041,289,10363550,99000,14953,105284073,697059000,4321417,28611000,35860.0,3,34316.0,45856,35860.0,64.0,1257,54180850,18795921,124443000,17.85,0.29,7,0,0,0,0,0,0,0,7.4
2024,2024-03-10,사계절_우븐 셔츠_드레스셔츠_ZB,ZB,01_시즌,사계절,우븐 셔츠,드레스셔츠,1:남성,156781,2277,73783150,79000,7559,1185076223,12385699000,17211388,179883000,36408.0,3,36527.0,33114,32404.0,59.0,19771,624632376,154711216,1561909000,12.61,0.35,7,0,0,0,0,0,0,0,7.4
2024,2024-03-10,봄_니트 셔츠_라운드_ZB,ZB,01_시즌,봄,니트 셔츠,라운드,1:남성,8906,644,19652050,89000,6766,60257996,792634000,4357304,57316000,30563.0,3,30105.0,39283,30516.0,66.0,2953,114863486,19979998,262817000,33.16,1.4,7,0,0,0,0,0,0,0,7.4
2024,2024-03-10,봄_수트_블레이져(수트)_ZB,ZB,01_시즌,봄,수트,블레이져(수트),1:남성,8944,391,69219840,279000,48551,434240144,2495376000,18983441,109089000,175526.0,3,167326.0,148940,177033.0,37.0,3760,729888213,182551760,1049040000,42.04,1.11,7,0,0,0,0,0,0,0,7.4
2024,2024-03-10,봄_수트_블레이져(수트)_ZC,ZC,01_시즌,봄,수트,블레이져(수트),1:남성,2493,113,21845700,279000,53467,133293231,695547000,6041771,31527000,193325.0,3,192464.0,157089,193325.0,31.0,1341,260898480,71699247,374139000,53.79,1.24,7,0,0,0,0,0,0,0,7.4
2024,2024-03-10,봄_수트_수트팬츠_ZB,ZB,01_시즌,봄,수트,수트팬츠,1:남성,10722,408,38302870,149000,24414,261761547,1597578000,9960708,60792000,93508.0,3,87946.0,79466,93880.0,37.0,4104,424885443,100193004,611496000,38.28,1.09,7,0,0,0,0,0,0,0,7.4
2024,2024-03-10,봄_수트_수트팬츠_ZC,ZC,01_시즌,봄,수트,수트팬츠,1:남성,2990,121,12516000,149000,25777,77073230,445510000,3119017,18029000,103438.0,3,103507.0,84561,103438.0,31.0,1372,142807560,35366044,204428000,45.89,1.23,7,0,0,0,0,0,0,0,7.4
2024,2024-03-10,봄_스웨터_라운드_ZA,ZA,01_시즌,봄,스웨터,라운드,1:남성,2726,174,5354600,99000,15694,42781844,269874000,2730756,17226000,30774.0,3,33907.0,43123,30774.0,69.0,1424,66508000,22348256,140976000,52.24,0.89,7,0,0,0,0,0,0,0,7.4
2024,2024-03-10,봄_스웨터_라운드_ZB,ZB,01_시즌,봄,스웨터,라운드,1:남성,12713,915,31606300,99000,16066,204247058,1258587000,14700390,90585000,34129.0,3,34181.0,44585,34542.0,65.0,4300,192352440,69083800,425700000,33.82,0.52,7,0,0,0,0,0,0,0,7.4
2024,2024-03-10,봄_스웨터_오픈형(CARDIGAN)_ZB,ZB,01_시즌,봄,스웨터,오픈형(CARDIGAN),1:남성,6105,383,14031500,159000,18786,114691582,970695000,7195230,60897000,36715.0,3,35438.0,52989,36636.0,77.0,1815,86543480,34097497,288585000,29.73,0.39,7,0,0,0,0,0,0,0,7.4
2024,2024-03-10,봄_코트_싱글코트_ZB,ZB,01_시즌,봄,코트,싱글코트,1:남성,3151,312,25199400,299000,42749,134702099,942149000,13337688,93288000,80767.0,3,80095.0,109748,80767.0,73.0,1993,177430435,85198757,595907000,63.25,0.56,7,0,0,0,0,0,0,0,7.4
2024,2024-03-10,봄_팬츠_팬츠(일반)_ZB,ZB,01_시즌,봄,팬츠,팬츠(일반),1:남성,19074,941,38383800,99000,10500,200286537,1888326000,9880970,93159000,41044.0,3,37651.0,46451,40790.0,59.0,6907,321176333,72526952,683793000,36.21,1.1,7,0,0,0,0,0,0,0,7.4
2024,2024-03-10,사계절_데님_데님자켓_ZB,ZB,01_시즌,사계절,데님,데님자켓,1:남성,4926,297,21994600,179000,19965,98347590,881754000,5929605,53163000,79518.0,3,82725.0,83945,74056.0,59.0,1013,96330800,20224545,181327000,20.56,0.68,7,0,0,0,0,0,0,0,7.4
2024,2024-03-10,사계절_데님_데님팬츠_ZB,ZB,01_시즌,사계절,데님,데님팬츠,1:남성,12055,305,12165500,99000,14480,174550372,1193445000,4416248,30195000,39802.0,3,43680.0,49757,39887.0,60.0,1230,69253200,17806205,121770000,10.2,0.26,7,0,0,0,0,0,0,0,7.4
2024,2024-03-10,사계절_수트_블레이져(수트)_ZB,ZB,01_시즌,사계절,수트,블레이져(수트),1:남성,12018,333,49601100,259000,42884,515379912,3112662000,14280372,86247000,148952.0,3,149568.0,131261,148952.0,42.0,3213,478073373,137786292,832167000,26.73,0.58,7,0,0,0,0,0,0,0,7.4
2024,2024-03-10,사계절_수트_블레이져(수트)_ZC,ZC,01_시즌,사계절,수트,블레이져(수트),1:남성,3502,139,20587600,259000,44521,155912542,907018000,6188419,36001000,148112.0,3,149119.0,148324,148112.0,43.0,1020,153171680,45411420,264180000,29.13,0.6,7,0,0,0,0,0,0,0,7.4
2024,2024-03-10,사계절_수트_수트팬츠_ZB,ZB,01_시즌,사계절,수트,수트팬츠,1:남성,14421,354,27850500,139000,20610,297216810,2004519000,7295940,49206000,78674.0,3,79205.0,69377,78674.0,43.0,3446,271175787,71022060,478994000,23.9,0.59,7,0,0,0,0,0,0,0,7.4
2024,2024-03-10,사계절_수트_수트팬츠_ZC,ZC,01_시즌,사계절,수트,수트팬츠,1:남성,4202,144,11373980,139000,21545,90532090,584078000,3102480,20016000,78986.0,3,79009.0,78577,78986.0,43.0,987,78546560,21264915,137193000,23.49,0.55,7,0,0,0,0,0,0,0,7.4
2024,2024-03-10,봄_자켓_싱글재킷_ZB,ZB,01_시즌,봄,자켓,싱글재킷,1:남성,2722,232,18608000,299000,29549,80432378,813878000,6855368,69368000,80207.0,3,89168.0,121717,80207.0,73.0,673,84626500,19886477,201227000,24.72,0.71,7,0,0,0,0,0,0,0,7.4
2024,2024-03-17,여름_수트_수트팬츠_ZC,ZC,01_시즌,여름,수트,수트팬츠,1:남성,4954,161,19054780,149000,28158,139494732,738146000,4533438,23989000,118353.0,3,115651.0,98472,118353.0,21.0,774,91368950,21794292,115326000,15.62,0.44,7,0,0,0,0,0,0,0,7.9
2024,2024-03-17,여름_스웨터_T-에리_ZA,ZA,01_시즌,여름,스웨터,T-에리,1:남성,7534,0,0,109000,14136,106496857,821206000,0,0,,3,70076.0,56097,70076.0,36.0,0,0,0,0,0.0,0.0,7,0,0,0,0,0,0,0,7.9
2024,2024-03-17,여름_수트_수트팬츠_ZB,ZB,01_시즌,여름,수트,수트팬츠,1:남성,27041,560,66233480,149000,26660,720899540,4029109000,14929320,83440000,118676.0,3,115926.0,94537,118274.0,21.0,3176,369832370,84799445,473224000,11.75,0.35,7,0,0,0,0,0,0,0,7.9
