,주차,카테고리,판매액,판매수량,매출원가,판매택가,실판매가,택가,할인율,할인율2
93,2021-01-17,자켓_싱글재킷_ZB,0,0,0,0,0.0,0.0,0.0,0.0
94,2021-01-17,팬츠_팬츠(일반)_ZB,17448980,253,2556621,17684700,68968.30039525691,69900.0,1.3329035833234444,1.3329035833234377
95,2021-01-17,수트_수트팬츠_ZB,0,0,0,0,0.0,0.0,0.0,0.0
96,2021-01-17,우븐 셔츠_드레스셔츠_ZB,0,0,0,0,0.0,0.0,0.0,0.0
97,2021-01-17,조끼_패딩베스트_ZB,2045878,106,1066600,8374000,19300.735849056604,79000.0,75.56868879866252,75.56868879866252
98,2021-01-17,수트_블레이져(수트)_ZC,7462400,48,2168257,10872000,155466.66666666666,226500.0,31.361295069904344,31.36129506990434
99,2021-01-17,수트_수트팬츠_ZC,3474500,45,1057166,5415000,77211.11111111111,120333.33333333333,35.83564173591874,35.83564173591874
100,2021-01-17,우븐 셔츠_드레스셔츠_ZC,349950,13,97961,518700,26919.23076923077,39900.0,32.53325621746674,32.53325621746674
112,2021-01-24,가죽&FUR_가죽점퍼_ZA,24770500,51,10429000,50949000,485696.07843137253,999000.0,51.38177393079354,51.381773930793535
113,2021-01-24,수트_블레이져(수트)_ZA,14824867,92,4876003,29888000,161139.85869565216,324869.5652173913,50.398598099571736,50.398598099571736
114,2021-01-24,수트_수트팬츠_ZA,8482433,106,3193219,19294000,80022.95283018867,182018.8679245283,56.035902353063136,56.03590235306313
116,2021-01-24,니트 셔츠_라운드_ZB,45201004,961,7368138,67173900,47035.383975026016,69900.0,32.71046641627179,32.7104664162718
117,2021-01-24,수트_블레이져(수트)_ZB,47355540,311,12743437,61889000,152268.61736334406,199000.0,23.483106852590925,23.48310685259093
118,2021-01-24,수트_수트팬츠_ZB,25318260,333,6990121,32967000,76030.81081081081,99000.0,23.2012012012012,23.2012012012012
119,2021-01-24,스웨터_T-에리_ZB,3802605,143,1408336,14285700,26591.643356643355,99900.0,73.38173838173839,73.38173838173839
120,2021-01-24,스웨터_라운드_ZB,61504926,1517,13534420,143948300,40543.78773895847,94890.1120632828,57.272905619587036,57.272905619587036
121,2021-01-24,스웨터_오픈형(CARDIGAN)_ZB,7147019,109,1535456,17429100,65568.98165137615,159900.0,58.993757566368885,58.99375756636889
122,2021-01-24,우븐 셔츠_드레스셔츠_ZB,4255380,122,723350,8527800,34880.16393442623,69900.0,50.0999085344403,50.0999085344403
123,2021-01-24,우븐 셔츠_캐쥬얼셔츠_ZB,14676457,439,3471651,30686100,33431.56492027335,69900.0,52.17229625139721,52.17229625139721
124,2021-01-24,점퍼_패딩점퍼_ZB,8427007,90,1740202,17910000,93633.41111111111,199000.0,52.9480346175321,52.9480346175321
