Unnamed: 0,주차,라인,성별,기획년도,시즌이월,상품년차,시즌,복종,소품종,카테고리,할인율,판매액,판매수량,매출원가,판매택가
87,2021-01-24,ZB,1:남성,2021,01_시즌,당해년도,사계절,수트,수트팬츠,수트_수트팬츠_ZB,41.60451151179925,43125700,688,11556199,68112000
88,2021-01-24,ZB,1:남성,2021,01_시즌,당해년도,사계절,우븐 셔츠,드레스셔츠,우븐 셔츠_드레스셔츠_ZB,36.98535158399535,46197943,1525,10813095,76397500
89,2021-01-24,ZB,1:남성,2021,01_시즌,당해년도,사계절,자켓,싱글재킷,자켓_싱글재킷_ZB,0.0,0,0,0,0
91,2021-01-24,ZB,1:남성,2021,01_시즌,당해년도,여름,수트,수트팬츠,수트_수트팬츠_ZB,0.0,0,0,0,0
92,2021-01-24,ZB,1:남성,2021,01_시즌,당해년도,여름,우븐 셔츠,드레스셔츠,우븐 셔츠_드레스셔츠_ZB,0.0,0,0,0,0
93,2021-01-24,ZB,4:기타,2021,01_시즌,당해년도,봄,조끼,패딩베스트,조끼_패딩베스트_ZB,0.3398734177215189,157463,2,22324,158000
100,2021-01-31,ZB,1:남성,2021,01_시즌,당해년도,봄,니트 셔츠,라운드,니트 셔츠_라운드_ZB,114.39533521060136,29689296,1167,9987576,81573300
101,2021-01-31,ZB,1:남성,2021,01_시즌,당해년도,봄,수트,블레이져(수트),수트_블레이져(수트)_ZB,68.23285390631901,31567544,217,8916963,43183000
102,2021-01-31,ZB,1:남성,2021,01_시즌,당해년도,봄,수트,수트팬츠,수트_수트팬츠_ZB,63.3132857409679,18594456,256,5399584,25344000
103,2021-01-31,ZB,1:남성,2021,01_시즌,당해년도,봄,스웨터,T-에리,스웨터_T-에리_ZB,57.99112125824455,18381489,438,4313584,43756200
104,2021-01-31,ZB,1:남성,2021,01_시즌,당해년도,봄,스웨터,라운드,스웨터_라운드_ZB,54.30786833489648,55998890,1297,11137522,121040300
105,2021-01-31,ZB,1:남성,2021,01_시즌,당해년도,봄,스웨터,오픈형(CARDIGAN),스웨터_오픈형(CARDIGAN)_ZB,-144.34878048780487,4636065,46,697829,7355400
106,2021-01-31,ZB,1:남성,2021,01_시즌,당해년도,봄,우븐 셔츠,드레스셔츠,우븐 셔츠_드레스셔츠_ZB,45.41219599427754,6105100,160,948656,11184000
108,2021-01-31,ZB,1:남성,2021,01_시즌,당해년도,봄,점퍼,패딩점퍼,점퍼_패딩점퍼_ZB,48.86034131051296,10278560,101,1952893,20099000
110,2021-01-31,ZB,1:남성,2021,01_시즌,당해년도,봄,코트,싱글코트,코트_싱글코트_ZB,48.06095986441941,24410382,206,5251943,51294000
111,2021-01-31,ZB,1:남성,2021,01_시즌,당해년도,사계절,데님,데님팬츠,데님_데님팬츠_ZB,9.0527640424848,4837063,67,786802,5353300
112,2021-01-31,ZB,1:남성,2021,01_시즌,당해년도,사계절,수트,블레이져(수트),수트_블레이져(수트)_ZB,45.31492436634122,91228080,795,29044657,158205000
113,2021-01-31,ZB,1:남성,2021,01_시즌,당해년도,사계절,수트,수트팬츠,수트_수트팬츠_ZB,42.29355868675592,59744380,1011,17847390,100089000
114,2021-01-31,ZB,1:남성,2021,01_시즌,당해년도,사계절,우븐 셔츠,드레스셔츠,우븐 셔츠_드레스셔츠_ZB,36.04532575275879,55609468,1790,12877928,94061000
115,2021-01-31,ZB,1:남성,2021,01_시즌,당해년도,사계절,자켓,싱글재킷,자켓_싱글재킷_ZB,0.0,6169000,31,732161,6169000
117,2021-01-31,ZB,1:남성,2021,01_시즌,당해년도,여름,수트,수트팬츠,수트_수트팬츠_ZB,0.0,0,0,0,0
118,2021-01-31,ZB,1:남성,2021,01_시즌,당해년도,여름,우븐 셔츠,드레스셔츠,우븐 셔츠_드레스셔츠_ZB,0.0,0,0,0,0
119,2021-01-31,ZB,4:기타,2021,01_시즌,당해년도,봄,조끼,패딩베스트,조끼_패딩베스트_ZB,74.94415995397009,870941,44,389112,3476000
130,2021-02-07,ZB,1:남성,2021,01_시즌,당해년도,봄,니트 셔츠,라운드,니트 셔츠_라운드_ZB,57.74966834142528,58459176,1918,15821427,134068200
131,2021-02-07,ZB,1:남성,2021,01_시즌,당해년도,봄,수트,블레이져(수트),수트_블레이져(수트)_ZB,37.53612072436938,60843498,479,19568397,95321000
132,2021-02-07,ZB,1:남성,2021,01_시즌,당해년도,봄,수트,수트팬츠,수트_수트팬츠_ZB,37.95809374455987,33565294,534,11191852,52866000
133,2021-02-07,ZB,1:남성,2021,01_시즌,당해년도,봄,스웨터,T-에리,스웨터_T-에리_ZB,58.225817598420335,15232329,365,3594659,36463500
134,2021-02-07,ZB,1:남성,2021,01_시즌,당해년도,봄,스웨터,라운드,스웨터_라운드_ZB,54.75008992674674,83949287,1938,16700030,180946200
135,2021-02-07,ZB,1:남성,2021,01_시즌,당해년도,봄,스웨터,오픈형(CARDIGAN),스웨터_오픈형(CARDIGAN)_ZB,52.5358880054002,16007519,211,3046824,33738900
136,2021-02-07,ZB,1:남성,2021,01_시즌,당해년도,봄,우븐 셔츠,드레스셔츠,우븐 셔츠_드레스셔츠_ZB,44.81636879977793,5168830,134,794499,9366600
138,2021-02-07,ZB,1:남성,2021,01_시즌,당해년도,봄,점퍼,패딩점퍼,점퍼_패딩점퍼_ZB,47.16027024008933,23658989,225,4350504,44775000
140,2021-02-07,ZB,1:남성,2021,01_시즌,당해년도,봄,코트,싱글코트,코트_싱글코트_ZB,36.624972110664885,55221500,348,9146038,86652000
141,2021-02-07,ZB,1:남성,2021,01_시즌,당해년도,사계절,니트 셔츠,라운드,니트 셔츠_라운드_ZB,0.0,0,0,0,0
142,2021-02-07,ZB,1:남성,2021,01_시즌,당해년도,사계절,데님,데님팬츠,데님_데님팬츠_ZB,13.971578748583656,13174420,197,2312865,15740300
143,2021-02-07,ZB,1:남성,2021,01_시즌,당해년도,사계절,수트,블레이져(수트),수트_블레이져(수트)_ZB,44.32858529770144,93412380,794,28374786,158006000
144,2021-02-07,ZB,1:남성,2021,01_시즌,당해년도,사계절,수트,수트팬츠,수트_수트팬츠_ZB,39.67207956093633,59697360,948,16250486,93852000
145,2021-02-07,ZB,1:남성,2021,01_시즌,당해년도,사계절,우븐 셔츠,드레스셔츠,우븐 셔츠_드레스셔츠_ZB,33.55180011185957,42800019,1420,10136922,73458000
146,2021-02-07,ZB,1:남성,2021,01_시즌,당해년도,사계절,자켓,싱글재킷,자켓_싱글재킷_ZB,63.62367392518146,1954500,27,637688,5373000
148,2021-02-07,ZB,1:남성,2021,01_시즌,당해년도,여름,수트,블레이져(수트),수트_블레이져(수트)_ZB,0.0,0,0,0,0
149,2021-02-07,ZB,1:남성,2021,01_시즌,당해년도,여름,수트,수트팬츠,수트_수트팬츠_ZB,0.0,0,0,0,0
150,2021-02-07,ZB,1:남성,2021,01_시즌,당해년도,여름,우븐 셔츠,드레스셔츠,우븐 셔츠_드레스셔츠_ZB,16.077305879565024,9561900,163,1031658,11393700
152,2021-02-07,ZB,4:기타,2021,01_시즌,당해년도,봄,조끼,패딩베스트,조끼_패딩베스트_ZB,78.04872011251759,780368,45,452087,3555000
165,2021-02-14,ZB,1:남성,2021,01_시즌,당해년도,봄,니트 셔츠,라운드,니트 셔츠_라운드_ZB,56.37913550798214,86841690,2934,24254310,205086600
