,주차,카테고리,판매액,판매수량,매출원가,판매택가,실판매가,택가,할인율
490,2021-03-14,스웨터_T-에리_ZB,37317657,1050,10340804,104895000,35540.625714285714,99900.0,0.6442379808379809
491,2021-03-14,스웨터_라운드_ZB,106561176,3056,25544981,280944400,34869.4947643979,91932.06806282722,0.620703683718202
492,2021-03-14,스웨터_오픈형(CARDIGAN)_ZB,42867841,699,9931761,111770100,61327.38340486409,159900.0,0.6164641438094803
493,2021-03-14,우븐 셔츠_드레스셔츠_ZB,9024150,263,1559353,18383700,34312.35741444867,69900.0,0.5091222115243395
494,2021-03-14,우븐 셔츠_캐쥬얼셔츠_ZB,17035183,542,4245431,37885800,31430.226937269374,69900.0,0.5503544071921407
495,2021-03-14,점퍼_패딩점퍼_ZB,37851899,380,7347518,75620000,99610.26052631579,199000.0,0.49944592700343826
496,2021-03-14,코트_더블코트_ZB,29787153,233,8126195,76657000,127841.85836909871,329000.0,0.6114229228902774
497,2021-03-14,코트_싱글코트_ZB,185752612,1698,44804435,422802000,109394.94228504122,249000.0,0.5606628823893928
498,2021-03-14,니트 셔츠_라운드_ZB,12807567,1116,6032200,22208400,11476.314516129032,19900.0,0.4233007780839682
499,2021-03-14,데님_데님팬츠_ZB,21018843,400,4695946,31960000,52547.1075,79900.0,0.3423390801001252
503,2021-03-14,수트_블레이져(수트)_ZB,87325152,768,27511896,152832000,113704.625,199000.0,0.42861997487437187
504,2021-03-14,수트_수트팬츠_ZB,55268153,891,15609677,88209000,62029.35241301908,99000.0,0.373440884716979
505,2021-03-14,우븐 셔츠_드레스셔츠_ZB,54327830,1736,12582576,92876400,31294.832949308755,53500.23041474654,0.4150523706775887
506,2021-03-14,자켓_싱글재킷_ZB,17921935,156,3684422,31044000,114884.19871794872,199000.0,0.42269246875402655
507,2021-03-14,팬츠_팬츠(일반)_ZB,83600556,2282,22562138,152811800,36634.774758983345,66963.97896581945,0.45291819087269436
508,2021-03-14,니트 셔츠_라운드_ZB,10145816,398,1346364,14149000,25492.0,35550.25125628141,0.2829305251254506
509,2021-03-14,니트 셔츠_티에리_ZB,1573250,22,251569,1977800,71511.36363636363,89900.0,0.20454545454545459
510,2021-03-14,수트_블레이져(수트)_ZB,139493971,944,38288029,187856000,147769.0370762712,199000.0,0.2574420247423558
511,2021-03-14,수트_수트팬츠_ZB,85220252,1150,24046416,113850000,74104.56695652174,99000.0,0.25146902064119453
514,2021-03-14,우븐 셔츠_드레스셔츠_ZB,33796337,1093,6917807,76400700,30920.71088746569,69900.0,0.5576436210662992
515,2021-03-14,우븐 셔츠_캐쥬얼셔츠_ZB,12409260,275,2014007,19222500,45124.58181818182,69900.0,0.3544408895825205
516,2021-03-14,자켓_싱글재킷_ZB,8572820,56,1182088,11144000,153086.07142857142,199000.0,0.23072325915290742
517,2021-03-14,점퍼_점퍼_ZB,105027018,953,20179010,201097000,110206.73452256033,211014.69045120673,0.4777295633450524
518,2021-03-14,팬츠_팬츠(일반)_ZB,2743720,56,513135,3914400,48995.0,69900.0,0.2990701001430615
519,2021-03-14,조끼_패딩베스트_ZB,11005215,752,7846075,59408000,14634.594414893618,79000.0,0.8147519694317263
520,2021-03-14,수트_블레이져(수트)_ZC,11178445,95,4197183,20705000,117667.84210526316,217947.36842105264,0.46010891089108913
521,2021-03-14,수트_수트팬츠_ZC,4288000,72,1531139,7448000,59555.555555555555,103444.44444444444,0.42427497314715357
522,2021-03-14,우븐 셔츠_드레스셔츠_ZC,340000,12,90426,478800,28333.333333333332,39900.0,0.2898913951545531
523,2021-03-14,수트_블레이져(수트)_ZC,48534303,315,14093314,69225000,154077.15238095238,219761.90476190476,0.29889053087757317
524,2021-03-14,수트_수트팬츠_ZC,25285032,320,7085600,35840000,79015.725,112000.0,0.2945024553571428
544,2021-03-21,가죽&FUR_가죽점퍼_ZA,31718000,66,13525000,65934000,480575.75757575757,999000.0,0.5189431856098523
545,2021-03-21,수트_블레이져(수트)_ZA,16360635,117,5689368,33303000,139834.4871794872,284641.0256410256,0.5087338978470407
546,2021-03-21,수트_수트팬츠_ZA,8246513,114,3011255,17886000,72337.83333333333,156894.73684210525,0.5389403444034441
548,2021-03-21,수트_블레이져(수트)_ZA,26947144,162,7498887,41958000,166340.3950617284,259000.0,0.3577590924257591
549,2021-03-21,수트_수트팬츠_ZA,16802471,191,4312170,26549000,87971.05235602094,139000.0,0.3671147312516479
550,2021-03-21,자켓_싱글재킷_ZA,46021164,282,9970200,73038000,163195.6170212766,259000.0,0.3699010925819437
551,2021-03-21,팬츠_팬츠(일반)_ZA,17133916,204,3159900,28356000,83989.7843137255,139000.0,0.39575694738326983
552,2021-03-21,니트 셔츠_라운드_ZB,111560594,4549,33885697,317975100,24524.201802593976,69900.0,0.6491530500344209
553,2021-03-21,수트_블레이져(수트)_ZB,29381228,248,10018918,49352000,118472.69354838709,199000.0,0.4046598314151402
554,2021-03-21,수트_수트팬츠_ZB,15703848,268,5551241,26532000,58596.44776119403,99000.0,0.40811668928086836
555,2021-03-21,스웨터_T-에리_ZB,22440649,617,6076458,61638300,36370.58184764992,99900.0,0.6359301116351359
556,2021-03-21,스웨터_라운드_ZB,78040027,2155,18083198,198744500,36213.46960556845,92224.82598607888,0.6073349098968777
557,2021-03-21,스웨터_오픈형(CARDIGAN)_ZB,36399738,609,8579943,97379100,59769.684729064036,159900.0,0.6262058490990368
558,2021-03-21,우븐 셔츠_드레스셔츠_ZB,9369950,326,1932886,22787400,28742.17791411043,69900.0,0.5888100441472041
559,2021-03-21,우븐 셔츠_캐쥬얼셔츠_ZB,16022531,537,4203464,37536300,29837.11545623836,69900.0,0.5731457016274912
560,2021-03-21,점퍼_패딩점퍼_ZB,27203467,296,5723330,58904000,91903.60472972973,199000.0,0.538172840554122
561,2021-03-21,코트_더블코트_ZB,40568822,397,13848403,130613000,102188.4685138539,329000.0,0.6893967522375262
562,2021-03-21,코트_싱글코트_ZB,136902252,1434,37892700,357066000,95468.7949790795,249000.0,0.6165911848229738
563,2021-03-21,니트 셔츠_라운드_ZB,33624268,2623,14177832,52197700,12819.011818528403,19900.0,0.3558285518327436
564,2021-03-21,데님_데님팬츠_ZB,34046910,686,8051773,54811400,49631.06413994169,79900.0,0.3788352423036084
568,2021-03-21,수트_블레이져(수트)_ZB,107532425,1120,40468411,222880000,96011.09375,199000.0,0.5175321922110553
569,2021-03-21,수트_수트팬츠_ZB,65776246,1215,21818413,120285000,54136.82798353909,99000.0,0.4531633537016253
570,2021-03-21,우븐 셔츠_드레스셔츠_ZB,62309762,1963,14228577,104793700,31742.110035659705,53384.46255731024,0.4054054585342439
571,2021-03-21,자켓_싱글재킷_ZB,16400549,140,3306532,27860000,117146.77857142857,199000.0,0.4113227207465901
572,2021-03-21,팬츠_팬츠(일반)_ZB,82190580,2216,21833059,149268400,37089.6119133574,67359.38628158845,0.4493772292059136
573,2021-03-21,니트 셔츠_라운드_ZB,59874345,2236,10092506,112247400,26777.435152057245,50200.08944543828,0.4665859075577697
574,2021-03-21,니트 셔츠_티에리_ZB,9697020,165,1886770,14833500,58769.818181818184,89900.0,0.3462756598240469
575,2021-03-21,수트_블레이져(수트)_ZB,145373104,1000,40807402,199000000,145373.104,199000.0,0.2694818894472362
576,2021-03-21,수트_수트팬츠_ZB,81268679,1114,23340078,110286000,72952.1355475763,99000.0,0.26310974194367376
577,2021-03-21,스웨터_T-에리_ZB,65372550,1126,8310291,101227400,58057.32682060391,89900.0,0.3542010364782658
578,2021-03-21,스웨터_라운드_ZB,0,0,0,0,0.0,0.0,0.0
581,2021-03-21,우븐 셔츠_드레스셔츠_ZB,33264855,1167,7386168,81573300,28504.588688946016,69900.0,0.5922090316316736
582,2021-03-21,우븐 셔츠_캐쥬얼셔츠_ZB,64058400,1764,12266837,123303600,36314.28571428572,69900.0,0.48048232168403837
583,2021-03-21,자켓_싱글재킷_ZB,2122600,17,360034,3383000,124858.82352941176,199000.0,0.37256872598285545
584,2021-03-21,점퍼_점퍼_ZB,100254786,949,19674734,207851000,105642.55637513172,219021.07481559538,0.5176603143598059
585,2021-03-21,팬츠_팬츠(일반)_ZB,19338520,355,3541719,28974500,54474.704225352114,81618.30985915494,0.3325676025470673
586,2021-03-21,조끼_패딩베스트_ZB,11240740,826,8431461,65254000,13608.64406779661,79000.0,0.8277386826861188
587,2021-03-21,수트_블레이져(수트)_ZC,10096500,84,3688954,18156000,120196.42857142857,216142.85714285713,0.4439028420356907
588,2021-03-21,수트_수트팬츠_ZC,3049000,52,1117011,5548000,58634.61538461538,106692.30769230769,0.45043258832011535
589,2021-03-21,우븐 셔츠_드레스셔츠_ZC,330930,12,90426,478800,27577.5,39900.0,0.3088345864661654
590,2021-03-21,수트_블레이져(수트)_ZC,51451048,344,15028455,73076000,149567.0,212430.23255813954,0.29592413377853194
591,2021-03-21,수트_수트팬츠_ZC,24784802,325,7070792,35175000,76260.92923076924,108230.76923076923,0.29538587064676614
612,2021-03-28,가죽&FUR_가죽점퍼_ZA,-7335000,-8,-1654000,-7992000,916875.0,999000.0,0.08220720720720721
613,2021-03-28,수트_블레이져(수트)_ZA,11638028,82,3936402,22678000,141927.17073170733,276560.9756097561,0.4868141811447217
614,2021-03-28,수트_수트팬츠_ZA,6741582,87,2222165,13093000,77489.44827586207,150494.2528735632,0.4851002825937523
616,2021-03-28,수트_블레이져(수트)_ZA,77986727,459,21543194,118881000,169905.72331154684,259000.0,0.3439933462874639
